,value
1206,1.657
1207,1.701
1208,1.662
1209,1.701
1210,1.657
1211,1.750
1212,1.675
1213,1.676
1214,1.643
1215,1.674
1216,1.635
1217,1.674
1218,1.633
1219,1.666
1220,1.632
1221,1.723
1222,1.656
1223,1.670
1224,1.633
1225,1.660
1226,1.629
1227,1.660
1228,1.627
1229,1.661
1230,1.617
1231,1.712
1232,1.652
1233,1.651
1234,1.613
1235,1.637
1236,1.598
1237,1.633
1238,1.592
1239,1.628
1240,1.582
1241,1.682
1242,1.610
1243,1.627
1244,1.594
1245,1.627
1246,1.591
1247,1.632
1248,1.587
1249,1.624
1250,1.589
1251,1.615
1252,1.564
1253,1.609
1254,1.569
1255,1.599
1256,1.564
1257,1.596
1258,1.557
1259,1.585
1260,1.545
1261,1.635
1262,1.583
1263,1.581
1264,1.547
1265,1.579
1266,1.541
1267,1.585
1268,1.551
1269,1.590
1270,1.544
1271,1.634
1272,1.558
1273,1.567
1274,1.526
1275,1.554
1276,1.516
1277,1.553
1278,1.509
1279,1.539
1280,1.501
1281,1.593
1282,1.522
1283,1.535
1284,1.498
1285,1.539
1286,1.494
1287,1.523
1288,1.497
1289,1.526
1290,1.480
1291,1.567
1292,1.504
1293,1.500
1294,1.454
1295,1.489
1296,1.450
1297,1.482
1298,1.440
1299,1.474
1300,1.438
1301,1.534
1302,1.461
1303,1.475
1304,1.439
1305,1.471
1306,1.437
1307,1.473
1308,1.428
1309,1.461
1310,1.416
1311,1.505
1312,1.434
1313,1.443
1314,1.403
1315,1.433
1316,1.391
1317,1.421
1318,1.374
1319,1.410
1320,1.360
1321,1.460
1322,1.400
1323,1.398
1324,1.359
1325,1.387
1326,1.344
1327,1.383
1328,1.339
1329,1.370
1330,1.322
1331,1.411
1332,1.334
1333,1.338
1334,1.304
1335,1.324
1336,1.283
1337,1.317
1338,1.270
1339,1.299
1340,1.262
1341,1.349
1342,1.278
1343,1.286
1344,1.248
1345,1.278
1346,1.244
1347,1.275
1348,1.234
1349,1.262
1350,1.211
1351,1.301
1352,1.235
1353,1.230
1354,1.187
1355,1.216
1356,1.174
1357,1.204
1358,1.155
1359,1.189
1360,1.145
1361,1.236
1362,1.168
1363,1.178
1364,1.132
1365,1.162
1366,1.119
1367,1.157
1368,1.108
1369,1.138
1370,1.092
1371,1.181
1372,1.102
1373,1.106
1374,1.068
1375,1.086
1376,1.046
1377,1.072
1378,1.032
1379,1.057
1380,1.016
1381,1.111
1382,1.031
1383,1.035
1384,0.995
1385,1.022
1386,0.983
1387,1.015
1388,0.972
1389,0.995
1390,0.947
1391,1.038
1392,0.961
1393,0.961
1394,0.917
1395,0.942
1396,0.900
1397,0.928
1398,0.886
1399,0.911
1400,0.867
1401,0.959
1402,0.884
1403,0.894
1404,0.850
1405,0.882
1406,0.839
1407,0.870
1408,0.827
1409,0.853
1410,0.806
1411,0.893
1412,0.822
1413,0.819
1414,0.775
1415,0.803
1416,0.760
1417,0.791
1418,0.747
1419,0.773
1420,0.731
1421,0.822
1422,0.755
1423,0.764
1424,0.721
1425,0.752
1426,0.704
1427,0.741
1428,0.697
1429,0.723
1430,0.672
1431,0.770
1432,0.695
1433,0.691
1434,0.646
1435,0.677
1436,0.635
1437,0.666
1438,0.623
1439,0.653
